conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_in_stock,meta_item_index,meta_item_item_product_group,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tuid,meta_item_variant,meta_item_voucher
1110l55559413,1101l338149,1011l543,22:46:00,2025-08-27,"2025-08-27 22:46:00",22:44:15,2025-08-27,"2025-08-27 22:44:15",USD,14298,,KWAB59,"FARFETCH Middle East",digizag11,,pending,105,9.2265,,,,184.53,existing,1101l1040831483,18052968,Men;Shoes;Trainers;Low-Tops,184.53,9.2265,pending,,,AE,"2025-08-27 22:46:39",false,,Desktop,Web,CPA,Affiliate,Standard,1100lBs4wFQZ,1,Partnerize,,,,FFACCESS-Bronze,,,,,,web,,1.25,31.71,Desktop,,,,,0.00,,,,,,,,VISA,,,,184.53,0.00,,,,,,,,,,,,,,,10,web,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.78,Woman,198.54,,,,JORDAN,,,,,,,,,,"Air Jordan 1 Low ""Diamond"" sneakers",,0,9.5,,,,
1100l2313048360,1101l338149,1011l543,20:36:00,2025-08-27,"2025-08-27 20:36:00",19:39:14,2025-08-27,"2025-08-27 19:39:14",USD,14298,,J96DFD,"FARFETCH Middle East",digizag11,,pending,3406,27.9175,,,,558.35,existing,1110l21342893,17813665,Women;Shoes;Trainers;Low-Tops,558.35,27.9175,pending,,,SA,"2025-08-27 20:36:22",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1101lBENhgqz,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,0.00,170.07,Mobile,,,,,177.77,,,,,,,,TamaraPayIn3,,,,558.35,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.86,Woman,888.87,,,,CHLOÉ,,,,,,,,,,"whipstitch-trim sneakers",,0,37,,,,
1101l2375884916,1101l338149,1011l543,14:52:00,2025-08-27,"2025-08-27 14:52:00",20:44:31,2025-08-03,"2025-08-03 20:44:31",USD,12941,,ZK4JLL,"FARFETCH Middle East",digizag11,https://the51.gotrackier.com/,pending,2052449,19.9865,,,,399.73,existing,1011l1041800583,18244509,"Women;Shoes;Sandals;Heeled Sandals",399.73,19.9865,pending,,,US,"2025-08-27 14:53:01",false,,Desktop,Web,CPA,Affiliate,Standard,1110li7q282,1,Partnerize,,,,FFACCESS-Gold,,,,,,web,,0.0,77.87,Desktop,,,,,119.40,,,,,,,,AMEX,,,,399.73,0.0,,,,,,,,,,,,,,,9,web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.29,Woman,597.0,,,,"LE SILLA",,,,,,,,,,"Poolside platform sandals",,1,35,,,,
1011l2378555910,1101l338149,1011l543,12:56:00,2025-08-27,"2025-08-27 12:56:00",10:14:46,2025-08-26,"2025-08-26 10:14:46",USD,14298,,3RL6BV,"FARFETCH Middle East",digizag11,,pending,96074,8.5175,,,,170.35,new,1101l1040750354,26779425,Women;Shoes;Trainers;Low-Tops,170.35,8.5175,pending,,,SA,"2025-08-27 12:56:21",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBrKZrJE,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.88,42.88,Mobile,,,,,0.00,,,,,,,,APPLEPAY,,,,170.35,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.27,Woman,195.90,,,,ADIDAS,,,,,,,,,,"SL 72 ""Silver Metallic/Collegiate Navy"" sneakers",,0,6.5,,,,
1110l55142244,1101l338149,1011l543,04:22:00,2025-08-27,"2025-08-27 04:22:00",04:17:43,2025-08-27,"2025-08-27 04:17:43",USD,12941,,HZVNJ3,"FARFETCH Middle East",digizag11,https://www.barakatalan.com/,pending,257,25.156,,,,503.12,existing,1011l1041735683,17406921,"Women;Shoes;Sandals;Flat Sandals",395.92,19.796,pending,,,SA,"2025-08-27 04:23:04",false,HONEYY325,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBrPyL97,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.23,174.05,Mobile,,,,,34.73,,,,,,,,TamaraPayIn3,,,,503.12,0.00,,,,,,,,,,,,,,,9,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.47,Woman,545.05,,,,"DOLCE & GABBANA",,,,,,,,,,"DG Logo leather sandals",,0,36.5,,,,
1110l55142244,1101l338149,1011l543,04:22:00,2025-08-27,"2025-08-27 04:22:00",04:17:43,2025-08-27,"2025-08-27 04:17:43",USD,12941,,HZVNJ3,"FARFETCH Middle East",digizag11,https://www.barakatalan.com/,pending,257,25.156,,,,503.12,existing,1011l1041735684,19524728,Men;Shoes;Trainers;Low-Tops,107.2,5.36,pending,,,SA,"2025-08-27 04:23:04",false,HONEYY325,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBrPyL97,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.23,174.05,Mobile,,,,,34.73,,,,,,,,TamaraPayIn3,,,,503.12,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.46,Woman,149.52,,,,"NEW BALANCE",,,,,,,,,,"530 ""White/Natural Indigo"" sneakers",,0,5,,,,
1100l2312626060,1101l338149,1011l543,00:13:00,2025-08-27,"2025-08-27 00:13:00",00:05:20,2025-08-27,"2025-08-27 00:05:20",USD,12941,,2X6GXN,"FARFETCH Middle East",digizag11,,pending,460,74.75,,,,1495,existing,1101l1040681518,31084148,"Women;Clothing;Dresses;Cocktail & Party Dresses",1495,74.75,pending,,,US,"2025-08-27 00:13:54",false,,Desktop,Web,CPA,Affiliate,Standard,1011lBzckmqN,1,Partnerize,,,,FFACCESS-Bronze,,,,,,web,,0.0,15.00,Desktop,,,,,0.0,,,,,,,,Klarna,,,,1495.0,0.0,,,,,,,,,,,,,,,8,web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.14,Woman,1495.0,,,,"ROBERTO CAVALLI",,,,,,,,,,"halter-neck flared jumpsuit",,0,40,,,,
